maker_id,maker_name,country,century,N_Sales,Span_Years,First_Sale,Last_Sale,Real_CAGR_%,Is_Dead
1117,"Fent, François",France,18,10,31,1984,2015,-3.4030322287782355,True
2236,"Mast, Jean Laurent",France,18,13,29,1980,2009,-3.6559471907146035,True
1388,"Gaillard-Lajoue, Jules",France,19,19,22,2002,2024,8.734302031618558,True
1012,"Maucotel, Charles",France,19,18,26,1980,2006,6.326654380452812,True
116,"Caussin, Nicolas",France,19,12,20,2006,2026,6.2249472360115465,True
134,"Collin-Mézin, Charles fils",France,19,192,25,2000,2025,4.270119637305592,True
1004,"Boullangier, Charles",France,19,48,40,1983,2023,4.076297006128415,True
1459,"Couturieux, Michel",France,19,30,41,1981,2022,3.954133368424162,True
221,"Grandjon, Jules Joseph",France,19,67,45,1980,2025,3.8020161931599628,True
206,"Gemünder, George I",France,19,53,46,1980,2026,3.711373921042105,True
2227,"Jacquot, Pierre Charles",France,19,11,19,2007,2026,3.6994702477999075,True
232,"Guadagnini, Francesco",France,19,14,29,1983,2012,3.313929610537003,True
2544,"Vuillaume (St. Cecile mark), Jean-Baptiste & Nicolas",France,19,10,55,1969,2024,2.720692826024118,True
133,"Collin-Mézin, Charles Jean-Baptiste père",France,19,137,27,1999,2026,2.709128760436541,True
807,"Vuillaume, Sebastien",France,19,16,41,1980,2021,2.6215381104514712,True
547,"Pirot, Claude",France,19,27,44,1981,2025,2.5309981140671622,True
1302,"Gosselin, Jean",France,19,14,39,1984,2023,2.5220771972489286,True
196,"Gaillard, Charles",France,19,19,44,1980,2024,2.426043773408737,True
1115,"Caussin, François",France,19,94,40,1984,2024,2.1931107549385542,True
810,"Vuillaume, Nicolas III",France,19,103,41,1984,2025,2.0337163961878346,True
128,"Chanot, Georges I",France,19,87,57,1969,2026,1.8933017809201313,True
555,"Poirson, Elophe",France,19,23,42,1982,2024,1.764279190422302,True
1027,"Miremont, Claude Augustin",France,19,41,41,1984,2025,1.5201044316965895,True
682,"Silvestre, Pierre",France,19,56,95,1930,2025,1.3790767309342256,True
1506,"Morlot, Nicolas",France,19,22,42,1982,2024,1.3576331364463012,True
1437,"Joly, Louis",France,19,11,23,1984,2007,1.3321848688369498,True
28,"Bailly, Jenny",France,19,43,43,1982,2025,1.2831851102132807,True
949,"Delivet, Auguste",France,19,27,45,1981,2026,1.2010875185913816,True
1281,"Thibout, Jacques-Pierre",France,19,30,43,1981,2024,1.190536722312996,True
1172,"Lotte, Georges",France,19,16,39,1983,2022,1.1744459283530961,True
1259,"Charotte-Millot, Joseph",France,19,12,44,1980,2024,1.0762472317422667,True
30,"Bailly, Paul",France,19,194,43,1983,2026,1.0396905863993222,True
2144,"Chardon, Joseph Marie",France,19,12,37,1982,2019,0.961952063622129,True
440,"Mermillot, Maurice",France,19,52,40,1985,2025,0.7912001493521226,True
1005,"Brugère, Charles Georges",France,19,59,41,1985,2026,0.7471844730190247,True
317,"Jombar, Paul",France,19,29,41,1984,2025,0.7037103645351372,True
2577,Gand Frères Firm,France,19,24,38,1988,2026,0.6872625297027701,True
22,"Audinot, Nestor Dominique",France,19,67,43,1983,2026,0.6533625981016034,True
1250,"Silvestre, Hippolyte Chrétien",France,19,77,52,1974,2026,0.6023901967183498,True
1145,"Chanot, Frederick William",France,19,31,34,1984,2018,0.6000070164568605,True
871,"Caressa, Albert",France,19,11,34,1990,2024,0.5916879578564238,True
683,"Silvestre, Pierre & Hippolyte",France,19,31,42,1984,2026,0.5738197794982414,True
158,"Derazey, Honoré (Jean-Joseph)",France,19,191,43,1983,2026,0.5255030455447729,True
951,"Bernardel, Auguste Sébastien Philippe père",France,19,103,54,1972,2026,0.45008167326878734,True
749,"Thouvenel, Charles",France,19,11,37,1987,2024,0.4370077641943748,True
159,"Derazey, Justin Amedée",France,19,105,42,1983,2025,0.3805221275233084,True
149,"Darte, Jean-Auguste",France,19,13,37,1987,2024,0.3644128626845822,True
1020,"Gand, Charles François père",France,19,25,40,1985,2025,0.34036189269643913,True
1162,Gand & Bernardel Firm,France,19,119,45,1981,2026,0.3351576790338484,True
1079,"Germain, Émile",France,19,50,44,1982,2026,0.3275968633253523,True
1465,"Didier, Marius",France,19,14,39,1986,2025,0.2686157307179471,True
438,"Mennesson, Emile",France,19,89,41,1983,2024,0.21149002176532594,True
